Treatment,Timestamp,BikeMoveRight2,MVWait2,Permitted2,Safe2,BikeMoveRight4,MVWait4,Permitted4,Safe4,CycleDistance,CycleDist1,CycleDist2,MVDistance,CommuteType,CommuteType1,CommuteType2,State,Gender,Education
3_SLM,8.7.2014 15:29:27,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
3_SLM,8.7.2014 19:38:39,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
3_SLM,8.7.2014 8:24:59,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Community College
3_SLM,8.7.2014 8:48:03,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Community College
3_SLM,8.8.2014 14:16:41,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Male,4-Year College
2_STR,7.14.2014 17:27:44,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,NC,Male,Graduate Degree
2_STR,7.15.2014 4:11:44,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,NC,Male,Graduate Degree
2_STR,7.21.2014 21:47:13,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
2_STR,8.12.2014 11:13:58,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Female,Graduate Degree
2_STR,8.19.2014 19:38:26,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
2_STR,8.28.2014 19:21:49,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,Less than 50 miles,Walk,Walk,Other,NC,Female,Graduate Degree
2_STR,8.28.2014 20:22:31,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,50/50 bike/personal car,Varies by day,Other,NC,Male,4-Year College
2_STR,8.30.2014 19:32:30,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,Graduate Degree
2_STR,8.31.2014 10:28:46,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
2_STR,8.7.2014 20:32:50,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
2_STR,8.8.2014 18:48:58,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
2_STR,8.9.2014 7:32:42,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,7.14.2014 17:07:40,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,NC,Female,Graduate Degree
1_None,7.22.2014 10:37:09,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,7.24.2014 15:13:22,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,None,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,NC,Female,Graduate Degree
1_None,7.30.2014 10:04:56,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,Graduate Degree
1_None,8.11.2014 22:16:49,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.19.2014 14:52:44,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.19.2014 17:22:44,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.28.2014 12:51:41,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,NC,Male,Graduate Degree
1_None,8.28.2014 16:48:28,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,4-Year College
1_None,8.29.2014 11:46:13,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.7.2014 11:15:50,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,Graduate Degree
1_None,8.8.2014 11:35:00,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Male,Graduate Degree
1_None,8.8.2014 11:54:34,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,None,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,NC,Male,4-Year College
1_None,8.8.2014 12:45:55,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,High School
1_None,8.8.2014 14:42:00,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,8.8.2014 14:44:27,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,Graduate Degree
1_None,8.8.2014 7:03:15,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,9.10.2014 8:37:11,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Male,4-Year College
4_BMUFL,8.7.2014 21:02:59,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
3_SLM,8.7.2014 18:39:24,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Female,Graduate Degree
2_STR,8.7.2014 17:27:12,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Female,Graduate Degree
1_None,8.28.2014 12:34:32,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Female,Graduate Degree
1_None,8.7.2014 19:38:04,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.9.2014 20:00:59,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.6.2014 18:23:26,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NJ,Male,Graduate Degree
2_STR,8.10.2014 18:10:09,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NM,Male,Graduate Degree
2_STR,8.8.2014 16:58:44,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,NM,Male,Graduate Degree
2_STR,8.8.2014 21:59:59,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,NM,Male,Graduate Degree
3_SLM,8.6.2014 20:33:58,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,NV,Male,Graduate Degree
4_BMUFL,8.6.2014 18:52:54,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NY,Male,4-Year College
3_SLM,8.6.2014 16:46:50,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,None,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,NY,Male,4-Year College
3_SLM,8.9.2014 12:37:56,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NY,,Graduate Degree
2_STR,8.7.2014 1:51:06,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,NY,Male,High School
1_None,8.9.2014 11:00:14,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,NY,Male,4-Year College
2_STR,9.3.2014 9:56:36,0_Disagree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,NY,Male,Graduate Degree
3_SLM,8.8.2014 11:22:35,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,Graduate Degree
2_STR,8.12.2014 19:25:45,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
1_None,8.8.2014 19:58:40,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,OH,Male,4-Year College
4_BMUFL,8.7.2014 18:33:39,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OK,Male,Graduate Degree
1_None,8.28.2014 13:22:15,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OR,Female,4-Year College
4_BMUFL,8.7.2014 15:51:21,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,PA,Female,Graduate Degree
1_None,8.8.2014 4:39:53,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,PA,Male,4-Year College
3_SLM,7.15.2014 9:36:57,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,SC,Male,4-Year College
3_SLM,8.7.2014 21:37:18,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,TX,Female,Graduate Degree
1_None,8.8.2014 17:45:27,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,TX,Male,Community College
4_BMUFL,8.8.2014 19:59:19,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,More than 200 Miles,Bicycle,Bicycle,Other,VA,Female,Graduate Degree
2_STR,8.7.2014 19:47:46,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,VA,Male,4-Year College
1_None,8.14.2014 15:42:49,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,More than 200 Miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,VA,Male,Graduate Degree
2_STR,8.11.2014 16:21:36,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,WA,Male,4-Year College
3_SLM,8.9.2014 10:41:02,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,WI,Male,4-Year College
4_BMUFL,8.12.2014 17:54:54,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,AK,Female,4-Year College
2_STR,8.6.2014 17:18:01,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,CA,Male,High School
2_STR,8.7.2014 15:39:41,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CO,Female,Graduate Degree
1_None,8.8.2014 0:31:33,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,MI,Male,Community College
2_STR,8.11.2014 0:13:44,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,MN,Male,Graduate Degree
3_SLM,8.28.2014 14:34:54,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,None,0,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
3_SLM,8.28.2014 16:57:49,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
3_SLM,8.7.2014 13:15:07,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,Walk,Walk,Other,NC,Female,Graduate Degree
1_None,8.12.2014 13:08:11,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,8.7.2014 9:03:27,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,High School
1_None,8.8.2014 18:39:49,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,Community College
1_None,8.11.2014 13:21:17,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NJ,Male,Graduate Degree
4_BMUFL,8.7.2014 19:07:08,1_Agree,1_Agree,0_Disagree,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,PA,Male,Graduate Degree
3_SLM,8.8.2014 20:04:48,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,AK,Female,Graduate Degree
1_None,8.10.2014 2:04:11,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,CO,Male,Graduate Degree
2_STR,8.19.2014 23:35:16,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,CT,Male,High School
4_BMUFL,8.7.2014 14:47:48,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,GA,Male,High School
4_BMUFL,8.7.2014 13:57:32,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,4-Year College
4_BMUFL,8.8.2014 20:07:48,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,11 - 50 miles,50,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Female,Graduate Degree
2_STR,8.7.2014 14:31:43,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,4-Year College
1_None,7.29.2014 18:57:48,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
3_SLM,8.8.2014 13:24:40,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
2_STR,8.7.2014 17:18:53,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,NC,Male,Graduate Degree
1_None,8.19.2014 15:05:59,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,4-Year College
1_None,8.29.2014 8:48:36,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,4-Year College
1_None,8.7.2014 16:33:24,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,0_Disagree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,Community College
